,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
29,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
30,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
31,"Regent Park, Harbourfront",43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
32,"Regent Park, Harbourfront",43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
33,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
34,"Regent Park, Harbourfront",43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
35,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
36,"Regent Park, Harbourfront",43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
37,"Regent Park, Harbourfront",43.6542599,-79.3606359,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
38,"Regent Park, Harbourfront",43.6542599,-79.3606359,Wildly Delicious Cafe,43.65043587832196,-79.3588615181307,Café
39,"Regent Park, Harbourfront",43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
40,"Regent Park, Harbourfront",43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
41,"Regent Park, Harbourfront",43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
42,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
43,"Regent Park, Harbourfront",43.6542599,-79.3606359,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
44,"Regent Park, Harbourfront",43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
45,"Regent Park, Harbourfront",43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
46,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
47,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
48,"Regent Park, Harbourfront",43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
49,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
50,"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
51,"Regent Park, Harbourfront",43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
52,"Regent Park, Harbourfront",43.6542599,-79.3606359,Residence & Conference Centre,43.65304,-79.35704,Hotel
53,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Healthy Road,43.656264585886454,-79.35711882680904,Health Food Store
54,"Regent Park, Harbourfront",43.6542599,-79.3606359,FUEL+,43.653193,-79.355867,Coffee Shop
55,"Regent Park, Harbourfront",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
56,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Roots,43.71821373389962,-79.46389305304558,Boutique
57,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
58,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
59,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
60,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
61,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
62,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
63,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Bluenotes,43.718846,-79.465906,Clothing Store
64,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene,43.71894162758098,-79.46388005195001,Accessories Store
65,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,International Clothiers,43.717997,-79.46672,Clothing Store
66,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Suzy Shier,43.718846,-79.465906,Clothing Store
67,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Miscellaneous Shop
68,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Orfus Road,43.719180444061294,-79.46036020806626,Clothing Store
69,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Barrymore,43.715889754621216,-79.46818846540778,Furniture / Home Store
70,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Queen's Park,43.66394609897775,-79.39217952520835,Park
71,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
72,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,NEO COFFEE BAR,43.66013,-79.38583,Coffee Shop
73,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
74,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
75,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
76,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.662407,-79.385943,Coffee Shop
77,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
78,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican Restaurant
79,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
80,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
81,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,401 Games,43.663623277853254,-79.3840374323983,Hobby Shop
82,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
83,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burrito Place
84,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Garden,43.66485840073255,-79.38494112880176,Sushi Restaurant
85,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
86,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Dollarama,43.66068,-79.38468,Discount Store
87,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
88,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
89,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
90,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,RBC Royal Bank,43.65933603842843,-79.38977326176165,Bank
91,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Subway,43.65897011920262,-79.3908742539673,Sandwich Place
92,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
93,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
94,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
95,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
96,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
97,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
98,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
99,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.6589062,-79.3886961,Coffee Shop
100,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Understudy Café at Gerstein,43.662308053867875,-79.39409796741381,College Cafeteria
101,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,The Green Beet Cafe,43.66209577172247,-79.39415302454405,Vegetarian / Vegan Restaurant
102,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
103,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Interprovincial Group,43.8056297,-79.2003784,Print Shop
104,Don Mills,43.745905799999996,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
105,Don Mills,43.745905799999996,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
106,Don Mills,43.745905799999996,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym
107,Don Mills,43.745905799999996,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
108,Don Mills,43.745905799999996,-79.352188,Bond Park,43.74537356928136,-79.35124509707558,Baseball Field
109,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
110,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
111,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
112,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
113,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
114,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Design Room & Co.,43.70652321982872,-79.31189060211182,Furniture / Home Store
115,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
116,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Nostalgia,43.706832771917064,-79.31178314223835,Café
117,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
118,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
119,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
120,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,Merchant's Flea Market,43.705107692965406,-79.31416841029413,Flea Market
121,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
122,"Garden District, Ryerson",43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
123,"Garden District, Ryerson",43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
124,"Garden District, Ryerson",43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
125,"Garden District, Ryerson",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
126,"Garden District, Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
127,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
128,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
129,"Garden District, Ryerson",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
130,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
131,"Garden District, Ryerson",43.6571618,-79.37893709999999,Five Guys,43.657116518476315,-79.38085267976494,Burger Joint
132,"Garden District, Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
133,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
134,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
135,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
136,"Garden District, Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
137,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
138,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
139,"Garden District, Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
140,"Garden District, Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.3810108074576,Electronics Store
141,"Garden District, Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.654446920401455,-79.38095230798749,Shopping Mall
142,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
143,"Garden District, Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
144,"Garden District, Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
145,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
146,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
147,"Garden District, Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
148,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
149,"Garden District, Ryerson",43.6571618,-79.37893709999999,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
150,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
151,"Garden District, Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
152,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
153,"Garden District, Ryerson",43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366988,Lake
154,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
155,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
156,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
157,"Garden District, Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
158,"Garden District, Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
159,"Garden District, Ryerson",43.6571618,-79.37893709999999,SEPHORA,43.6535272,-79.3801543,Cosmetics Shop
160,"Garden District, Ryerson",43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
161,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65521877547618,-79.38094518163427,Tea Room
162,"Garden District, Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
163,"Garden District, Ryerson",43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.383621,Seafood Restaurant
164,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
165,"Garden District, Ryerson",43.6571618,-79.37893709999999,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
166,"Garden District, Ryerson",43.6571618,-79.37893709999999,College Park Area,43.659453,-79.383785,Park
167,"Garden District, Ryerson",43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
168,"Garden District, Ryerson",43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
169,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
170,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marriott Downtown at CF Toronto Eaton Centre,43.654728444284025,-79.3824216350913,Hotel
171,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
172,"Garden District, Ryerson",43.6571618,-79.37893709999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store
173,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
174,"Garden District, Ryerson",43.6571618,-79.37893709999999,MAC Cosmetics,43.65405547492733,-79.38071368220903,Cosmetics Shop
175,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
176,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
177,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
178,"Garden District, Ryerson",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
179,"Garden District, Ryerson",43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store
180,"Garden District, Ryerson",43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
181,"Garden District, Ryerson",43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
182,"Garden District, Ryerson",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
183,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
184,"Garden District, Ryerson",43.6571618,-79.37893709999999,Coco Fresh Tea & Juice,43.65865989038909,-79.38204032226336,Bubble Tea Shop
185,"Garden District, Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
186,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65596912045543,-79.38268426666406,Coffee Shop
187,"Garden District, Ryerson",43.6571618,-79.37893709999999,Nordstrom Ebar,43.654648676831954,-79.38057377013143,Coffee Shop
188,"Garden District, Ryerson",43.6571618,-79.37893709999999,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
189,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
190,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
191,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
192,"Garden District, Ryerson",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
193,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Square,43.656988428886045,-79.37689617296417,Other Great Outdoors
194,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store
195,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ali Basha Cafè,43.6566897,-79.3754589,Hookah Bar
196,"Garden District, Ryerson",43.6571618,-79.37893709999999,Urban Outfitters,43.65441107845698,-79.38005491917738,Clothing Store
197,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Department Store
198,"Garden District, Ryerson",43.6571618,-79.37893709999999,KAKA,43.65745745164475,-79.38419169987876,Japanese Restaurant
199,"Garden District, Ryerson",43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
200,"Garden District, Ryerson",43.6571618,-79.37893709999999,Smoke's Poutinerie,43.65737935238092,-79.37345459540276,Poutine Place
201,"Garden District, Ryerson",43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
202,"Garden District, Ryerson",43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Diner
203,"Garden District, Ryerson",43.6571618,-79.37893709999999,Victoria's Secret PINK,43.65335746417248,-79.3806734813237,Lingerie Store
204,"Garden District, Ryerson",43.6571618,-79.37893709999999,Katsuya,43.65986035759321,-79.37878806223506,Japanese Restaurant
205,"Garden District, Ryerson",43.6571618,-79.37893709999999,Vans,43.654825509733335,-79.38024076741966,Shoe Store
206,"Garden District, Ryerson",43.6571618,-79.37893709999999,VISA Screening Room #TIFF,43.6534148270092,-79.37845854142398,Movie Theater
207,"Garden District, Ryerson",43.6571618,-79.37893709999999,Victoria's Secret,43.65320588119187,-79.38052200729167,Lingerie Store
208,"Garden District, Ryerson",43.6571618,-79.37893709999999,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
209,"Garden District, Ryerson",43.6571618,-79.37893709999999,lululemon athletica,43.6532862,-79.3807642,Clothing Store
210,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ted Baker,43.65284284567131,-79.38032491863406,Clothing Store
211,"Garden District, Ryerson",43.6571618,-79.37893709999999,Reds Midtown Tavern,43.659128249470015,-79.38226565563255,Wine Bar
212,"Garden District, Ryerson",43.6571618,-79.37893709999999,Second Cup,43.652980800725366,-79.3774078337122,Café
213,"Garden District, Ryerson",43.6571618,-79.37893709999999,Fine Asian Bowl,43.6553866,-79.3803264,Vietnamese Restaurant
214,"Garden District, Ryerson",43.6571618,-79.37893709999999,Taiyaki NYC - Toronto,43.65558,-79.384462,Ice Cream Shop
215,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65907956058055,-79.38056191501433,Coffee Shop
216,"Garden District, Ryerson",43.6571618,-79.37893709999999,Shisha&Co,43.6567479206269,-79.37433722726891,Smoke Shop
217,"Garden District, Ryerson",43.6571618,-79.37893709999999,Shoppers Drug Mart,43.658475,-79.384868,Pharmacy
218,"Garden District, Ryerson",43.6571618,-79.37893709999999,Abercrombie & Fitch,43.65291548392747,-79.38049525090148,Clothing Store
